"longitude","latitude","ndvi"
-51.4552252252252,-30.2552252252252,0.6591
-51.4552252252252,-30.2327027027027,0.6316
-51.4552252252252,-30.2101801801802,0.6732
-51.4552252252252,-30.1876576576577,0.7414
-51.4552252252252,-30.1651351351351,0.7496
-51.4552252252252,-30.1426126126126,0.5762
-51.4552252252252,-30.1200900900901,0.7798
-51.4552252252252,-30.0975675675676,0.7114
-51.4552252252252,-30.075045045045,0.8986
-51.4552252252252,-30.0525225225225,0.7783
-51.4552252252252,-30.03,0.7364
-51.4552252252252,-30.0074774774775,0.498
-51.4552252252252,-29.984954954955,0.5468
-51.4552252252252,-29.9624324324324,0.3227
-51.4552252252252,-29.9399099099099,0.5395
-51.4552252252252,-29.9173873873874,0.6892
-51.4552252252252,-29.8948648648649,0.8025
-51.4552252252252,-29.8723423423423,0.6263
-51.4552252252252,-29.8498198198198,0.768
-51.4552252252252,-29.8272972972973,0.6654
-51.4552252252252,-29.8047747747748,0.7567
-51.4327027027027,-30.2552252252252,0.7442
-51.4327027027027,-30.2327027027027,0.8733
-51.4327027027027,-30.2101801801802,0.7739
-51.4327027027027,-30.1876576576577,0.616
-51.4327027027027,-30.1651351351351,0.8953
-51.4327027027027,-30.1426126126126,0.6761
-51.4327027027027,-30.1200900900901,0.5932
-51.4327027027027,-30.0975675675676,0.7017
-51.4327027027027,-30.075045045045,0.8775
-51.4327027027027,-30.0525225225225,0.7035
-51.4327027027027,-30.03,0.6664
-51.4327027027027,-30.0074774774775,0.7662
-51.4327027027027,-29.984954954955,0.456
-51.4327027027027,-29.9624324324324,0.8158
-51.4327027027027,-29.9399099099099,0.7318
-51.4327027027027,-29.9173873873874,0.8053
-51.4327027027027,-29.8948648648649,0.8298
-51.4327027027027,-29.8723423423423,0.5583
-51.4327027027027,-29.8498198198198,0.52
-51.4327027027027,-29.8272972972973,0.7756
-51.4327027027027,-29.8047747747748,0.7763
-51.4101801801802,-30.2552252252252,0.6553
-51.4101801801802,-30.2327027027027,0.9025
-51.4101801801802,-30.2101801801802,0.681
-51.4101801801802,-30.1876576576577,0.6072
-51.4101801801802,-30.1651351351351,0.6638
-51.4101801801802,-30.1426126126126,0.6153
-51.4101801801802,-30.1200900900901,0.7026
-51.4101801801802,-30.0975675675676,0.5145
-51.4101801801802,-30.075045045045,0.7772
-51.4101801801802,-30.0525225225225,0.8512
-51.4101801801802,-30.03,0.86
-51.4101801801802,-30.0074774774775,0.8496
-51.4101801801802,-29.984954954955,0.3732
-51.4101801801802,-29.9624324324324,0.8211
-51.4101801801802,-29.9399099099099,0.8546
-51.4101801801802,-29.9173873873874,0.8588
-51.4101801801802,-29.8948648648649,0.5574
-51.4101801801802,-29.8723423423423,0.5505
-51.4101801801802,-29.8498198198198,0.8183
-51.4101801801802,-29.8272972972973,0.4051
-51.4101801801802,-29.8047747747748,0.6298
-51.3876576576577,-30.2552252252252,0.4435
-51.3876576576577,-30.2327027027027,0.6305
-51.3876576576577,-30.2101801801802,0.4838
-51.3876576576577,-30.1876576576577,0.7514
-51.3876576576577,-30.1651351351351,0.5634
-51.3876576576577,-30.1426126126126,0.5419
-51.3876576576577,-30.1200900900901,0.5974
-51.3876576576577,-30.0975675675676,0.6269
-51.3876576576577,-30.075045045045,0.7206
-51.3876576576577,-30.0525225225225,0.8527
-51.3876576576577,-30.03,0.8691
-51.3876576576577,-30.0074774774775,0.7457
-51.3876576576577,-29.984954954955,0.8147
-51.3876576576577,-29.9624324324324,0.5944
-51.3876576576577,-29.9399099099099,0.8663
-51.3876576576577,-29.9173873873874,0.867
-51.3876576576577,-29.8948648648649,0.8461
-51.3876576576577,-29.8723423423423,0.3125
-51.3876576576577,-29.8498198198198,0.812
-51.3876576576577,-29.8272972972973,0.8525
-51.3876576576577,-29.8047747747748,0.5996
-51.3651351351351,-30.2552252252252,0.8421
-51.3651351351351,-30.2327027027027,0.887
-51.3651351351351,-30.2101801801802,0.809
-51.3651351351351,-30.1876576576577,0.6739
-51.3651351351351,-30.1651351351351,0.7223
-51.3651351351351,-30.1426126126126,0.6178
-51.3651351351351,-30.1200900900901,0.3763
-51.3651351351351,-30.0975675675676,0.6998
-51.3651351351351,-30.075045045045,0.846
-51.3651351351351,-30.0525225225225,0.8441
-51.3651351351351,-30.03,0.7443
-51.3651351351351,-30.0074774774775,0.8244
-51.3651351351351,-29.984954954955,0.7054
-51.3651351351351,-29.9624324324324,0.3288
-51.3651351351351,-29.9399099099099,0.7459
-51.3651351351351,-29.9173873873874,0.8186
-51.3651351351351,-29.8948648648649,0.7506
-51.3651351351351,-29.8723423423423,0.7412
-51.3651351351351,-29.8498198198198,0.8587
-51.3651351351351,-29.8272972972973,0.8437
-51.3651351351351,-29.8047747747748,0.6197
-51.3426126126126,-30.2552252252252,0.8375
-51.3426126126126,-30.2327027027027,0.7809
