"longitude","latitude","ndvi"
-51.2851351351351,-30.1351351351351,-0.3
-51.2851351351351,-30.1126126126126,-0.3
-51.2851351351351,-30.0900900900901,-0.3
-51.2851351351351,-30.0675675675676,-0.3
-51.2851351351351,-30.045045045045,-0.3
-51.2851351351351,-30.0225225225225,0.4852
-51.2851351351351,-30,0.7871
-51.2851351351351,-29.9774774774775,0.6565
-51.2851351351351,-29.954954954955,0.7506
-51.2851351351351,-29.9324324324324,0.6702
-51.2851351351351,-29.9099099099099,0.78
-51.2851351351351,-29.8873873873874,0.6278
-51.2851351351351,-29.8648648648649,0.6276
-51.2626126126126,-30.1351351351351,-0.0196
-51.2626126126126,-30.1126126126126,-0.0079
-51.2626126126126,-30.0900900900901,-0.3
-51.2626126126126,-30.0675675675676,-0.3
-51.2626126126126,-30.045045045045,0.5659
-51.2626126126126,-30.0225225225225,0.8159
-51.2626126126126,-30,0.2522
-51.2626126126126,-29.9774774774775,0.8303
-51.2626126126126,-29.954954954955,0.7696
-51.2626126126126,-29.9324324324324,0.2566
-51.2626126126126,-29.9099099099099,0.8192
-51.2626126126126,-29.8873873873874,0.8549
-51.2626126126126,-29.8648648648649,0.6171
-51.2400900900901,-30.1351351351351,-0.3
-51.2400900900901,-30.1126126126126,0.4642
-51.2400900900901,-30.0900900900901,0.4182
-51.2400900900901,-30.0675675675676,0.2867
-51.2400900900901,-30.045045045045,-0.3
-51.2400900900901,-30.0225225225225,0.6918
-51.2400900900901,-30,0.8473
-51.2400900900901,-29.9774774774775,0.7887
-51.2400900900901,-29.954954954955,0.8304
-51.2400900900901,-29.9324324324324,0.7894
-51.2400900900901,-29.9099099099099,0.6169
-51.2400900900901,-29.8873873873874,0.5847
-51.2400900900901,-29.8648648648649,0.8134
-51.2175675675676,-30.1351351351351,0.3938
-51.2175675675676,-30.1126126126126,0.5775
-51.2175675675676,-30.0900900900901,0.5019
-51.2175675675676,-30.0675675675676,0.6024
-51.2175675675676,-30.045045045045,0.3696
-51.2175675675676,-30.0225225225225,0.2192
-51.2175675675676,-30,0.8083
-51.2175675675676,-29.9774774774775,-0.3
-51.2175675675676,-29.954954954955,0.8124
-51.2175675675676,-29.9324324324324,0.7459
-51.2175675675676,-29.9099099099099,0.3153
-51.2175675675676,-29.8873873873874,0.4981
-51.2175675675676,-29.8648648648649,0.55
-51.195045045045,-30.1351351351351,0.6863
-51.195045045045,-30.1126126126126,0.6054
-51.195045045045,-30.0900900900901,0.7376
-51.195045045045,-30.0675675675676,0.3141
-51.195045045045,-30.045045045045,0.3438
-51.195045045045,-30.0225225225225,0.2877
-51.195045045045,-30,0.1166
-51.195045045045,-29.9774774774775,0.2486
-51.195045045045,-29.954954954955,0.7555
-51.195045045045,-29.9324324324324,0.3994
-51.195045045045,-29.9099099099099,0.393
-51.195045045045,-29.8873873873874,0.2346
-51.195045045045,-29.8648648648649,0.8062
-51.1725225225225,-30.1351351351351,0.7826
-51.1725225225225,-30.1126126126126,0.7557
